SCU Number,Market Name,Owner,Pole Height - AGL,Type,Primary Power,Secondary Power,Communication Lines,Guy Wires,Sign,Light Arm,Banner,Surveillance Equipment,Power Meter,Traffic Signal,Transformer,Other,Comments,Reviewed By,Time Study (Minutes),Link to as built,,,,
414882,MD RSA 02 - Kent,Crown Castle,31,Metal Streetlight,N/A,N/A,N/A,N/A,N/A,22.57,N/A,N/A,5 - X,N/A,N/A,6.25 - X,Other - Disconnect box,Tyler,55,https://www.ccisites.com/uploads/non_otg_docs/work_task/3300000-3399999/3387889/VOC-062_414882_NAT_Redlined_As-Built.pdf,,,,
414883,MD RSA 02 - Kent,Crown Castle,31,Metal Streetlight,N/A,N/A,N/A,N/A,N/A,22.57,N/A,N/A,5 - X,N/A,N/A,6.25 - X,Other - Disconnect box,Tyler,35,https://www.ccisites.com/uploads/non_otg_docs/work_task/3300000-3399999/3387882/VOC-063_As_Built.PDF,,,,
414888,MD RSA 02 - Kent,Crown Castle,31,Metal Pole,X  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 - X,N/A,N/A,6.25 - X,Other - Disconnect box,Tyler,35,https://www.ccisites.com/uploads/non_otg_docs/work_task/3300000-3399999/3387880/VOC-068-414888_NAT_Redlined_As-Built.pdf,,,,
414893,MD RSA 02 - Kent,Crown Castle,31,Metal Streetlight,N/A,N/A,N/A,N/A,N/A,22.57,N/A,N/A,5 - X,N/A,N/A,6.25 - X,Other - Disconnect box,Tyler,35,https://www.ccisites.com/uploads/non_otg_docs/work_task/3300000-3399999/3387884/VOC-073_As_Built.PDF,,,,
431464,"Chicago, IL",CDOT,34.5,Metal Streetlight,X ; X,N/A,N/A,N/A,X ; X ; X ; X,31.17 ; 33.83,N/A,N/A,N/A,N/A,N/A,N/A,,Tyler,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/3900000-3999999/3911240/CH90XSGR3_431464_NAT_Reviewed_REDLINE-NODE.pdf,,,,
439804,"Chicago, IL",CDOT,35.08,Metal Pole,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.25,N/A,N/A,,Tyler,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/4000000-4099999/4016879/CH90XS689_439804_REDLINE-NODE.pdf,,,,
469964,"Chicago, IL",CDOT,34.83,Metal Streetlight,32.5 ; 32.5,N/A,N/A,N/A,10.83 (CL only height),31.17 ; 33.83,N/A,N/A,N/A,N/A,N/A,N/A,,Tyler,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/3900000-3999999/3911600/CH90XSL3Y_469964_REDLINE-NODE.pdf,,,,
403698,"Chicago, IL",CDOT,34.75,Traffic Signal,N/A,N/A,N/A,N/A,6.75-9.25 ; 15-18,31.4 ; 34,N/A,N/A,N/A,9.4-11 ; 11-X,N/A,21.6-22.4 ; 3.7-5,Other - Disconnect box ; electrical junction box,Tyler,25,https://www.ccisites.com/uploads/non_otg_docs/work_task/2600000-2699999/2631444/Pico_1009_As-Built.pdf,,,,
409240,"Chicago, IL",CDOT,34.33,Traffic Signal,34.2,N/A,N/A,N/A,7.17-8.67 ; 8.75-10.83,33.58,N/A,N/A,N/A,X-X,N/A,4-5.25,Other - Electric Box,Tyler,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/4800000-4899999/4840940/As-Built_19-0293_Monroe_&_LSD_409240_CRC-DAS-392G_20190607_PM_approved_(1).pdf,,,,
409395,"Chicago, IL",CPD,33.42,Metal Streetlight,N/A,N/A,N/A,N/A,N/A,32.58,N/A,N/A,N/A,N/A,N/A,N/A,,Tyler,10,https://www.ccisites.com/uploads/non_otg_docs/work_task/4800000-4899999/4840563/GP02_SCU_409395_Redline-Node.pdf,,,,
409397,"Chicago, IL",CPD,33.42,Concrete Streetlight,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.92 (CL only height),Other - Telco Box,Tyler,10,https://www.ccisites.com/uploads/non_otg_docs/work_task/4800000-4899999/4840939/GP04_409397_NAT_Redlined_As-Built.pdf,,,,
411198,"Chicago, IL",CDOT,34.57,Metal Streetlight,N/A,32.33,N/A,N/A,8.17 (CL only height),34,N/A,N/A,N/A,N/A,N/A,19.08 (CL only height),Other - Disconnect box ; telcom box,Tyler,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/4200000-4299999/4298037/Jackson_and_Canal_MC_411198_NAT_Redlined_As-Built.pdf,,,,
411208,"Chicago, IL",CDOT,34.68,Traffic Signal,N/A,N/A,N/A,N/A,N/A,34.08,N/A,N/A,N/A,10.91-14.75,N/A,9.41-10.91 ; 25.66 ; 4.08-5.25,Other - Pedestrian Signal and disconnect box (CL only height) ; electrical box,Tyler,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/4200000-4299999/4298019/Jefferson_&_Randolph_411208_NAT_Redlined_As-Built.pdf,,,,
411215,"Chicago, IL",CDOT,34.5,Metal Streetlight,N/A,N/A,N/A,N/A,X-10',33.83',N/A,N/A,N/A,N/A,N/A,29.42,,Marie,50,https://www.ccisites.com/uploads/non_otg_docs/work_task/4200000-4299999/4298002/State_&_Walton_SC_411215_Redline-Node.PDF,,,,
411224,"Chicago, IL",CDOT,34.75,Traffic Signal,N/A,N/A,N/A,N/A,N/A,31.5,N/A,N/A,N/A,10'-11.67; 11.67'-15.33',N/A,4.5; 5.83; 24.85; 24.85,,Marie,60,https://www.ccisites.com/uploads/non_otg_docs/work_task/4200000-4299999/4298012/Clark_&_Hubbard_SC_411224_Redline-Node.pdf,,,,
411225,"Chicago, IL",CDOT,35,Metal Streetlight,N/A,N/A,N/A,N/A,8.42'-9.92'; 10.5'-X,33.58,N/A,N/A,N/A,N/A,N/A,N/A,,Marie,45,https://www.ccisites.com/uploads/non_otg_docs/work_task/4200000-4299999/4298016/Wells_&_Kinzie_SC_411225_NAT_Redlined_As-Built.pdf,,,,
411503,"Chicago, IL",CDOT,34.58,Metal Streetlight,N/A,21.5,N/A,N/A,10.5-X,34,N/A,N/A,N/A,N/A,N/A,23.5; 23.5,,Marie,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/4200000-4299999/4298039/DesPlaines_&_Monroe_411503_NAT_Redlined_As-Built.pdf,,,,
411504,"Chicago, IL",CDOT,34.5,Metal Streetlight,N/A,N/A,X,N/A,8.67-9.5,X,13.5-X,N/A,N/A,N/A,N/A,24.92; 26.33,,Marie,30,https://www.ccisites.com/uploads/non_otg_docs/work_task/4200000-4299999/4297988/Halsted_&_Eastman_Lasalle_&_Jackson_SCU_411504_As_Built-Node.pdf,,,,
411512,"Chicago, IL",CDOT,34.5,Metal Streetlight,N/A,32.17,N/A,N/A,9.58-X; 31.17-X,31.17,14.33; 22.42,N/A,N/A,N/A,N/A,N/A,,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4600000-4699999/4697452/Columbus_&_Balbo_411512_Fiber_As-Built.pdf,,,,
411526,"Chicago, IL",CDOT,34.5,Traffic Signal,N/A,N/A,N/A,N/A,9.25-X,33.9,N/A,N/A,N/A,9.42-10.92; 9.42-13,N/A,N/A,,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4600000-4699999/4697466/Upper_Wacker_&_Randolph_411526__REDLINE-NODE.pdf,,,,
411535,"Chicago, IL",CDOT,34.58,Metal Streetlight,N/A,N/A,N/A,N/A,6.5-8.42; 8.5-10,X,N/A,N/A,N/A,N/A,N/A,14,,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4200000-4299999/4297997/Dearborn_&_Schiller_SCU_411535_As_Built_-Node.pdf,,,,
413502,"Chicago, IL",CDOT,34.5,Metal Streetlight,N/A,19,X;X;X,N/A,31.5-34.5,31.5,N/A,N/A,N/A,N/A,N/A,17.58; 30.75,light; Center of Electric,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4800000-4899999/4841006/Node_AA-413502-Fiber_AsBuilt.pdf,,,,
413503,"Chicago, IL",CDOT,34.5,Metal Streetlight,N/A,N/A,X,N/A,8.33; 32.5,31.17; 33.83,15; 22.83,N/A,N/A,N/A,N/A,23.83; 26.83,,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/2700000-2799999/2798433/As-Built_-_SC_AC.pdf,,,,
413506,"Chicago, IL",CDOT,34.5,Metal Streetlight,N/A,N/A,N/A,N/A,N/A,33.83,N/A,N/A,N/A,N/A,N/A,25.33; 29.83,,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4800000-4899999/4840982/Node_T_413508_Fiber_AsBuilt.pdf,,,,
413507,"Chicago, IL",CDOT,34.5,Metal Streetlight,N/A,N/A,N/A,N/A,8.83,31.17,N/A,N/A,N/A,N/A,N/A,24.33,Sign centerline,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4800000-4899999/4841003/Node_G_413507_Fiber_AsBuilt.pdf,,,,
413508,"Chicago, IL",CPD,34.5,Traffic Signal,N/A,N/A,N/A,N/A,6.83; X-X,N/A,N/A,N/A,25.33,10.83,N/A,N/A,,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4800000-4899999/4846731/NODE_O_413507_Fiber_As-Built.pdf,,,,
425033,"Chicago, IL",CDOT,34.5,Traffic Signal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.5,9.92-10.58; 9.92-15.08,N/A,29.83,,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4200000-4299999/4298027/Michigan_Congress_SC_425033_Redline-Node.pdf,,,,
431475,"Chicago, IL",CDOT,34.5,Metal Streetlight,N/A,X,N/A,N/A,N/A,31.17,N/A,N/A,N/A,N/A,N/A,21.67; 22; 30,,Marie,,https://www.ccisites.com/uploads/non_otg_docs/work_task/2600000-2699999/2631524/CH0650BA_PICO_847_As_Built-Node.pdf,,,,
