scu,jurisdiction,file,owner,latitude,longitude,address,county,pole height,pole height comment,primary power,primary power comment,secondary power,secondary power comment,fiber dist panel,fiber dist panel comment,ac load panel,ac load panel comment,street sign,street sign comment,shroud,shroud comment,antenna,antenna comment,analysis_id
470337,CHICAGO,CHPH32640_470337_NAT_Reviewed_Redline-Node.pdf,COMED,"41' 47' 27.39"" (41.790942)","-87 43' 56.12"" (-87.732254)",4345 W 56TH ST,XXXX,33.75,,33.25,,25.17,,13.17,,10.95,,,,10.88,,40.25,,6104cb06f8892d9346eb470b
470341,CHICAGO,CHPH32652_470341_Redlines-Node.pdf,COMED,"41' 46' 58.71"" (41.782976)","-87 42' 37.17"" (-87.710325)",6045 S ST LOUIS AVE,XXXX,38.5,,29.17,,22.25,,10.67,,10.89,,9.0,,10.85,,39.25,,6104c5b4f8892d9346eb46cc
470353,CHICAGO,CHPH32684_SCU-470353_Redline-Node.pdf,COMED,41.775514,-87.720394,6444 S SPRINGFIELD AVE,XXXX,32.96,,31.29,,,,28.35,,15.58,,,,30.96,,37.5,,6104bc88f8892d9346eb465a
470358,CHICAGO,CHPH32695_470358_Redline_-_Node_NAT_Redline.pdf,COMED,"41' 50' 4.76"" (41.834657)","-87' 40' 54.85"" (-87.681903)",3240 S BELL AVE,XXXX,33.83,,,,,,13.75,,12.06,,,,13.02,,40.08,,6104ba36f8892d9346eb463e
470362,CHICAGO,CHPH32718_SCU-470362_Redlines-Node.pdf,COMED,"41' 48' 2.89"" (41.800801)","-87 43' 4.39"" (-87.717886)",3748 W 51ST ST,XXXX,33.0,,32.5,,,,11.75,,13.64,,,,13.6,,39.5,,6104c17ff8892d9346eb4698
470363,CHICAGO,CHPH32719_SCU-470363_Redlines-Node.pdf,COMED,41.798637,-87.717771,3747 ₩ 52ND ST,XXXX,34.0,,34.42,,,,13.62,,15.56,,,,15.48,,40.5,,6104b2baf8892d9346eb45db
470364,CHICAGO,CH3210BA_71LAB_Elevation_As_Built.pdf,COMED,"41' 48' 1.11"" (41.800308)","-87 39' 2.9"" (-87.650804)",5141 S CARPENTER ST,XXXX,37.0,,36.42,,22.5,,10.6,,10.6,,,,10.6,,43.42,,6104c0b5f8892d9346eb468e
470394,CHICAGO CITY,CHPH33001_SCU-470394_Redlines-Node.pdf,XXXX,"41' 54' 39.07"" N (41.910854)","87º 39' 32.56"" W (-87.659043)",1252 W. NORTH AVE.,XXXX,34.5,,,,,,23.5,,,,,,28.0,,,,6104aec6f8892d9346eb45ab
470397,CHICAGO CITY,CHPH33107_470397_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 53' 11.77"" N (41.886603)","87º 39' 25.14"" W (-87.656982)",1203 W. FULTON MARKET.,XXXX,34.5,,,,,,25.0,,,,,,30.0,,,,6104ae30f8892d9346eb45a4
470398,CHICAGO CITY,CHPH33108_SCU-470398_NAT_Reviewed_Redline-Node.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104cc20f8892d9346eb4718
470399,CHICAGO CITY,CHPH33115_SCU-470399_Redlines-Node.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104d1cff8892d9346eb4763
470437,CHICAGO CITY,CHPH33119_SCU-470437_Redlines-Node.pdf,XXXX,"41' 54' 57.91"" N (41.916087)","87º 38' 36.66"" W (-87.643517)",1845 N. LARRABEE ST.,XXXX,34.5,,,,,,23.5,,,,,,32.33,,,,6104d5f7f8892d9346eb4796
