scu,jurisdiction,file,owner,latitude,longitude,address,county,pole height,pole height comment,primary power,primary power comment,secondary power,secondary power comment,fiber dist panel,fiber dist panel comment,ac load panel,ac load panel comment,street sign,street sign comment,shroud,shroud comment,antenna,antenna comment,analysis_id
470790,CHICAGO,CHPH33584_SCU-470790_Redlines-Node.pdf,COMED,41.784420,-87.733283,5948 S KOSTNER AVE,XXXX,34.42,,35.04,,,,12.92,,10.73,,,,23.44,,,,6104d69bf8892d9346eb479e
470798,CHICAGO,CHPH33595_Elevation_As_Built.pdf,COMED,"41' 46' 13.96"" (41.770544)","-87 41' 15.54"" (-87.687650)",6744 S MAPLEWOOD AVE,XXXX,33.67,,,,27.0,,11.23,,11.22,,,,,,40.17,,6104dadbf8892d9346eb47d1
470813,CHICAGO CITY,CHPH33648_SCU-470813_Redlines-Node.pdf,XXXX,"41' 52' 39.99"" N (41.877774)","87º 43' 31.66"" W (-87.725461)",307 S. PULASKI RD.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104d86ef8892d9346eb47b3
470822,CHICAGO CITY,CHPH33668_470822_REDLINE-NODE.pdf,XXXX,"41' 58' 40.60"" N (41.977945)","87º 40' 46.37"" W (-87.679547)",2000 W. BERWYN AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104bec2f8892d9346eb4676
470823,CHICAGO CITY,CHPH33667_470823_NAT_Redlined_As-Built.pdf,XXXX,"41' 56' 53.81"" N (41.948281)","87º 43' 39.16"" W (-87.727546)",3700 N. PULASKI RD.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104c8cef8892d9346eb46f1
470826,CHICAGO,CHPH33677_SCU-470826_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,38.08,,38.58,,,,16.25,,14.06,,,,23.44,,,,6104b7a8f8892d9346eb461f
470832,CHICAGO CITY,CHPH33688_Elevation_As_Built_NAT_Redline.pdf,XXXX,"41' 54' 34.91"" N (41.909698)","87' 44' 56.65"" W (-87.749071)",4892 W. NORTH AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104d4f7f8892d9346eb478b
470841,CHICAGO,CHPH33681_470841_REDLINE-NODE.pdf,COMED,42.013271,-87.670421,7252 N ASHLAND BLVD,XXXX,38.46,,38.38,,,,14.08,,16.02,,,,15.94,,44.75,,6104db1ff8892d9346eb47d4
470847,CHICAGO CITY,CHPH33703_470847_Redline-Node.pdf,XXXX,"41' 56' 17.18"" N (41.938106)","87º 46' 34.66"" W (-87.776294)",3152 N. AUSTIN AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104da8cf8892d9346eb47cd
470850,CHICAGO CITY,CH3210BA_81LAB_Elevation_As_Built_NAT_Redline.pdf,XXXX,9999,9999,705 W. 43RD ST.,XXXX,,,,,,,23.5,,,,,,,,29.48,,6104c83cf8892d9346eb46ea
470851,CHICAGO,CHPH33711_SCU-470851_Redline-Node.pdf,COMED,"41' 50' 9.19"" (41.835887)","-87 39' 32.25"" (-87.658959)",3206 S THROOP ST,XXXX,37.67,,37.92,,31.25,,13.75,,11.53,,,,13.02,,43.92,,6104b3eaf8892d9346eb45ea
470854,CHICAGO CITY,CHPH33715470854_Elevation_As-Built_NAT_Redline.pdf,XXXX,"41' 48' 59.27"" N (41.816465)","87º 37' 17.52"" W (-87.621534)",4302 S. INDIANA AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104db43f8892d9346eb47d6
470858,CHICAGO,CHPH33716_SCU-470858_NAT_Redlined_As-Built.pdf,COMED,9999,9999,XXXX,XXXX,39.08,,37.96,,,,10.12,,12.02,,7.0,,11.94,,44.08,,6104afc1f8892d9346eb45b6
470863,CHICAGO,CHPH33721_SCU-470863_REDLINE-NODE.pdf,COMED,9999,9999,XXXX,XXXX,34.08,,,,24.17,,11.33,,10.78,,,,12.17,,40.67,,6104d539f8892d9346eb478e
470866,CHICAGO CITY,CHPH33784_SCU-470866_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 49 45.46"" N (41.829295)","87º 37' 01.17"" W (-87.616993)",3567 S. DR. MARTIN LUTHER KING JR. DR.,XXXX,34.5,,,,,,,,,,,,29.0,,,,6104b93df8892d9346eb4633
470867,CHICAGO,CHPH33785_470867_Elevation_NAT_Reviewed_As-Built.pdf,COMED,41.964305,-87.719991,3645 W WILSON AVE,XXXX,29.17,,,,,,12.42,,13.62,,,,13.52,,35.67,,6104d80af8892d9346eb47ae
470872,CHICAGO,CHPH33790_SCU-470872_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,38.5,,,,,,14.5,,16.44,,,,16.35,,44.42,,6104b9c7f8892d9346eb4639
470885,CHICAGO,CH1432BA_21LAB_Elevation_As_Built_NAT_Redline.pdf,COMED,"41' 51' 30.11"" (41.858365)","-87 43' 42.22"" (-87.728395)",4125 W 16TH ST,XXXX,33.58,,33.5,,,,13.75,,12.06,,,,14.58,,39.83,,6104c86bf8892d9346eb46ec
470886,CHICAGO,CHPH33753_SCU-470886_NAT_Reviewed_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,33.75,,34.0,,,,11.33,,13.27,,,,13.19,,40.08,,6104c9bff8892d9346eb46fb
470888,CHICAGO,CHPH33756_Elevation_As_Built.pdf,COMED,41.775629,-87.693884,2828 ₩ 65TH ST,XXXX,33.96,,34.42,,,,10.67,,12.62,,,,12.52,,40.67,,6104c504f8892d9346eb46c3
470890,CHICAGO,CHPH33758_SCU-470890_Redlines-Node.pdf,COMED,41.781403,-87.690431,6147 S WASHTENAW AVE,XXXX,33.75,,33.5,,,,10.5,,12.44,,,,12.35,,39.92,,6104c7e7f8892d9346eb46e6
470895,CHICAGO,CHPH33736_SCU-470895_Redline-Node_NAT.pdf,COMED,9999,9999,XXXX,XXXX,38.0,,37.21,,,,15.67,,17.6,,8.17,,17.52,,45.0,,6104c2c1f8892d9346eb46a7
470896,CHICAGO,CHPH33739_470896_Redline-Node_NAT_Redline.pdf,COMED,"41' 50' 0.58"" (41.833495)","-87 41' 1.94"" (-87.683872)",3312 S CLAREMONT AVE,XXXX,34.08,,34.33,,,,13.75,,11.53,,,,13.0,,40.58,,6104d886f8892d9346eb47b4
470901,CHICAGO,CHPH33815_SCU-470901_Redlines-Node.pdf,COMED,41.957983,-87.724507,4211 N ELSTON AVE,XXXX,29.67,,,,,,10.67,,12.6,,,,12.52,,36.29,,6104ae84f8892d9346eb45a8
471115,CHICAGO,CHPH33771_SCU-471115_Redlines-Node.pdf,COMED,41.867751,-87.771109,1046 S MONITOR AVE,XXXX,33.75,,,,,,9.75,,11.69,,,,11.6,,40.42,,6104d2a3f8892d9346eb476c
471117,CHICAGO,CHPH33774_SCU-471117_Redlines-Node.pdf,COMED,41.884274,-87.671745,147 N WOOD ST,XXXX,38.75,,38.25,,,,19.46,,17.27,,,,28.69,,30.25,,6104da21f8892d9346eb47c9
471128,CHICAGO,CHPH33801_SCU-471128_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,36.33,,34.83,,,,11.17,,13.1,,,,13.02,,41.08,,6104c406f8892d9346eb46b8
471131,CHICAGO CITY,CHPH33823_471131_REDLINE-NODE.pdf,XXXX,"41' 59' 18.80"" N (41.988555)","87º 42' 49.83"" W (-87.713842)",5901 M. KIMBALL AVEL,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104b1b5f8892d9346eb45cf
471146,CHICAGO CITY,CHPH33810_471146_Elevation_As-Built.pdf,XXXX,"41' 58' 10.59"" N (41.969607)","87º 41' 20.72"" W (-87.689088)",4834 N. WESTERN AVE.,XXXX,,,,,,,23.5,,,,,,25.0,,,,6104d520f8892d9346eb478d
471148,CHICAGO CITY,CH3171BA_11LAB_Elevation_As_Built.pdf,XXXX,"41' 56' 48.11"" N (41.946696)","87º 41' 10.63"" W (-87.686286)",2309 W. ADDISON ST.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104af4ef8892d9346eb45b1
471154,CHICAGO CITY,CHPH33831_SCU-471154_Redline-Node.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104cd7cf8892d9346eb472a
471155,CHICAGO CITY,CHPH33832_471155_Redline-Node_NAT_Redline.pdf,XXXX,"41' 57' 38.00"" N (41.960557)","87º 46' 01.55"" W (-87.767096)",5556 W MONTROSE AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104cce2f8892d9346eb4722
471156,CHICAGO CITY,CHPH33833_SCU-471156_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 48' 47.18"" N (41.813104)","87' 36' 14.00"" W (-87.603888)",4501 S. DREXEL BLVD.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104b9d8f8892d9346eb463a
471157,CHICAGO,CH3180BA_21LAB_Elevation_As_Bult_-_NAT_Approved_As_Built.pdf,COMED,9999,9999,XXXX,XXXX,33.17,,33.67,,,,12.92,,10.73,,,,23.44,,,,6104b828f8892d9346eb4625
471162,CHICAGO CITY,CHPH33851_SCU-471162_Redlines-Node.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104bf6cf8892d9346eb467f
471181,CHICAGO,CHPH33885_1441BA_71LAB_Elevation_NAT_Reviewed_As_Built.pdf,COMED,9999,9999,XXXX,XXXX,38.33,,38.67,,,,13.17,,10.98,,,,24.19,,,,6104b026f8892d9346eb45ba
471187,CHICAGO CITY,ee71e338-39a4-41ab-8011-1e12c51bc73d_-_NAT_Approved_As_Built.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104d0cdf8892d9346eb4757
471194,CHICAGO CITY,CHPH33857_SCU-471194_Redline-Node.pdf,XXXX,"41' 53' 13.55"" N (41.887097)","87º 45' 53.95"" W (-87.764985)",347 N. CENTRAL AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104c814f8892d9346eb46e8
471197,CHICAGO CITY,CHPH33861_SCU-471197_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 52' 49.55"" N (41.880432)","87º 44' 07.30"" W (-87.735362)",1-33 S. KOSTNER AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104b755f8892d9346eb461b
471200,CHICAGO CITY,CHPH33874_471200_REDLINE-NODE.pdf,XXXX,"41' 55' 12.74"" N (41.920206)","87 38' 28.46"" W (-87.641238)",2101 N. CLEVELAND AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104d6b0f8892d9346eb479f
471202,CHICAGO,CHPH33891_471202_Redline-Node.pdf,COMED,41.886936,-87.708752,3263 W CARROLL AVE,XXXX,38.38,,37.5,,,,9.33,,12.02,,,,11.94,,44.08,,6104c0a0f8892d9346eb468d
471206,CHICAGO,CHPH33900_SCU-471206_Redline-Node.pdf,COMED,41.921106,-87.738261,2212 N KENNETH AVE,XXXX,33.67,,,,,,13.0,,10.81,,,,23.85,,,,6104ba5ef8892d9346eb4640
471208,CHICAGO,CHPH33902_471208_Redline_-_Node.pdf,COMED,"41' 55' 17.23"" (41.921453)","-87 44' 57.38"" (-87.749273)",2228 N LAMON AVE,XXXX,33.33,,34.17,,,,11.92,,9.7,,,,11.19,,40.17,,6104b9f1f8892d9346eb463b
471221,CHICAGO CITY,CH2264BA_11LAB_Elevation_As_Built.pdf,XXXX,"41' 55' 23.53"" N (41.923203)","87º 41' 15.79"" W (-87.687720)",2252 N. WESTERN AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104b046f8892d9346eb45bc
471223,BERWYN/COOK COUNTY,CHPH33919_471223_NAT_Reviewed_Redline-Node.pdf,COMED,9999,9999,XXXX,XXXX,33.12,,33.17,,23.33,,14.17,,12.46,,,,13.4,,39.67,,6104cb81f8892d9346eb4710
471228,CHICAGO CITY,CHPH33925_471228_Elevation_As_Built_NAT_Redline.pdf,XXXX,9999,9999,XXXX,XXXX,28.5,,,,,,23.5,,,,,,28.5,,,,6104c2e6f8892d9346eb46a9
471232,CHICAGO,CH1362BA_71LAB_Elevation_NAT_Reviewed_As_Built.pdf,COMED,"41' 49' 42.25"" (41.828402)","-87 39' 56.36"" (-87.665656)",3610 S ASHLAND AVE,XXXX,38.67,,39.5,,,,13.75,,11.53,,,,26.85,,,,6104b31ff8892d9346eb45e0
471243,CHICAGO CITY,CHPH33937_471243_Redline-Node.pdf,XXXX,"42' 01' 09.52"" N (42.019310)","87º 41' 50.62"" W (-87.697393)",2701 HOWARD ST.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104c167f8892d9346eb4697
471245,EVANSTON,CHPH33940_SCU-471245_Redlines-Node_-_NAT.pdf,COMED,9999,9999,XXXX,XXXX,36.71,,36.83,,,,13.08,,15.04,,8.33,,14.94,,42.92,,6104be85f8892d9346eb4673
471247,CHICAGO,CHPH33943_SCU-471247_NAT_Reviewed_Redline-Node.pdf,COMED,41.836233,-87.654168,1110 W 32ND ST,XXXX,34.17,,,,,,10.83,,12.77,,,,12.69,,40.33,,6104c3a6f8892d9346eb46b3
471249,CHICAGO CITY,CHPH33945_As_Built-Node_NAT_Redline.pdf,XXXX,"41' 50' 16.93"" N (41.838036)","87 37' 18.51"" W (-87.621808)",3107 S. INDIANA AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104b516f8892d9346eb45fd
471251,CHICAGO CITY,CH3193BA_11LAB_Elevation_As_Built_NAT_Redline.pdf,XXXX,"41' 50' 24.29"" N (41.840079)","87 37' 36.80"" W (-87.626890)",2962 S. STATE ST.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104d9f3f8892d9346eb47c7
471255,CHICAGO CITY,CHPH33954_SCU-471255_Redlines-Node.pdf,XXXX,"41' 52' 52.75"" N (41.881320)","87' 40' 52.93"" W (-87.681370)",2158 W. MADISON ST.,XXXX,,,,,,,23.5,,,,,,,,29.48,,6104c0eff8892d9346eb4691
471262,CHICAGO CITY,CHPH33965_SCU-471262_Redlines-Node.pdf,XXXX,"41' 55' 35.50"" N (41.926529)","87º 43' 01.03"" W (-87.716952)",2501 N. CENTRAL PARK AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104b7ccf8892d9346eb4621
471289,CICERO,CHPH33951_SCU-471289_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,33.56,,,,,,11.71,,9.52,,,,23.44,,,,6104b45bf8892d9346eb45f1
471293,CHICAGO,CHPH33962_SCU-471293_Redline-Node.pdf,COMED,"41' 54' 50.34"" (41.913984)","-87' 41' 38.62"" (-87.694061)",2646 W BLOOMINGDALE AVE,XXXX,,,,,,,11.75,,13.97,,8.42,,32.94,,,,6104b4cdf8892d9346eb45f9
471298,CHICAGO CITY,CHPH33970_Elevation_Redlines.pdf,XXXX,"41' 54' 14.26"" N (41.903961)","87º 46' 31.22"" W (-87.775338)",1301 N. AUSTIN BLVD.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,28.0,,6104d7b0f8892d9346eb47aa
471311,CHICAGO,CHPH33975_SCU-471311_Redlines-Node.pdf,COMED,41.909466,-87.733940,1562 N KILDARE AVE,XXXX,34.0,,,,,,13.0,,10.81,,,,24.02,,,,6104ba73f8892d9346eb4641
471312,CHICAGO,CHPH33976_SCU-471312_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,,,36.12,,,,12.75,,10.56,,,,23.44,,,,6104b4dbf8892d9346eb45fa
471313,CHICAGO,CH1523BA_71LAB_Elevation_As_Built.pdf,COMED,41.912097,-87.729422,1712 N KARLOV AVE,XXXX,34.25,,34.62,,,,13.58,,11.4,,,,24.69,,,,6104bd00f8892d9346eb465f
471315,CHICAGO,CHPH33979_SCU-471315_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,34.88,,34.33,,,,12.5,,14.44,,,,14.35,,40.5,,6104b616f8892d9346eb460b
471345,CHICAGO CITY,CHPH34049_SCU-471345_Redlines-Node.pdf,XXXX,"41' 59' 25.28"" N (41.990356)","87º 41' 48.58"" W (-87.696827)",2657 W. PETERSON AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104b46af8892d9346eb45f3
471347,CHICAGO CITY,CH1514BA_21LAB_Elevation_As_Built.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104c675f8892d9346eb46d7
471348,CHICAGO CITY,CH1362BA_91LAB_Elevation_As_Built_NAT_Redline.pdf,XXXX,"41' 49' 19.10"" N (41.821973)","87º 41' 40.34"" W (-87.694540)",3925 S. CALIFORNIA AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104ca3cf8892d9346eb4701
471353,CHICAGO CITY,CHPH34061_SCU-471353_Redline-Node.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,28.0,,,,6104baf5f8892d9346eb4647
471358,CHICAGO CITY,CHPH34069_SCU-471358_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 58' 59.70"" N (41.983249)","87º 41' 43.93"" W (-87.695537)",5600 N. LINCOLN AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104c211f8892d9346eb46a0
471361,CHICAGO CITY,CH3171BA_31LAB_Elevation_NAT_Reviewed_As_Built.pdf,XXXX,"41' 57' 10.73"" N (41.952980)","87º 41' 18.84"" W (-87.688568)",3924 N. WESTERN AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104c085f8892d9346eb468c
471363,CHICAGO CITY,CHPH34071_SCU-471363_Redline-Node_NAT_Appoved.pdf,XXXX,"42' 01' 01.45"" N (42.017069)","87º 39' 54.87"" W (-87.665243)",900 W. FARGO AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104b079f8892d9346eb45be
471369,CHICAGO,CHPH34077_SCU-471369_Redline-Node.pdf,COMED,41.964114,-87.761550,5337 W WILSON AVE,XXXX,34.9,,35.04,,,,10.42,,12.35,,,,12.27,,41.25,,6104be6ff8892d9346eb4672
471372,CHICAGO CITY,CHPH34080_SCU-471372_Redlines-Node.pdf,XXXX,"41' 58' 11.79"" N (41.969942)","87º 39' 17.72"" W (-87.654922)",4828 N. SHERIDAN RD.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104c0d5f8892d9346eb4690
471381,CHICAGO CITY,CHPH34089_471381_Asbuilts.pdf,XXXX,"41' 52' 33.04"" N (41.875845)","87º 45' 17.31"" W (-87.754808)",325 S. LARAMIE AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104ccb9f8892d9346eb4720
471386,CHICAGO CITY,CHPH34094_471386_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 58' 26.22"" N (41.973951)","87º 41' 30.79"" W (-87.691886)",5077 N. LINCOLN AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104ce90f8892d9346eb4738
471389,CHICAGO CITY,CHPH34097_SCU-471389_Redline-Node.pdf,XXXX,"41' 59' 01.19"" N (41.983664)","87º 39' 37.34"" W (-87.660372)",5600 N. RIDGE AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104cb36f8892d9346eb470d
471390,CHICAGO CITY,CHPH34098_SCU-471390_Redlines-Node.pdf,XXXX,"41' 58' 36.03"" N (41.976676)","87º 41' 32.96"" W (-87.692489)",5224 N. LINCOLN AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104ccfbf8892d9346eb4723
471394,CHICAGO,CHPH34102_SCU-471394_Redlines.pdf,COMED,9999,9999,XXXX,XXXX,34.33,,34.42,,,,10.58,,12.52,,,,12.44,,40.5,,6104c4b3f8892d9346eb46bf
471395,CHICAGO CITY,CHPH34103_471395_NAT_Redlined_As-Built.pdf,XXXX,"41' 52' 39.65"" N (41.877679)","87º 42' 38.88"" W (-87.710799)",221 S. HOMAN AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104bff6f8892d9346eb4686
471409,CHICAGO,CH1506BA_11LAB_Elevation_NAT_Reviewed_As_Built.pdf,COMED,41.951963,-87.721708,3736 W BYRON ST,XXXX,33.5,,33.5,,,,12.6,,10.42,,,,11.9,,40.0,,6104ae1df8892d9346eb45a3
471411,CHICAGO CITY,CH3171BA_41LAB_Elevation_NAT_Redlined_As-Built.pdf,XXXX,"41' 56' 41.85"" N (41.944958)","87º 42' 45.85"" W (-87.712736)",3510 N. KIMBALL AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104cb67f8892d9346eb470f
471414,CHICAGO CITY,CHPH34122_SCU-471414_Redline-Node_-_NAT_Revised_as_built.pdf,XXXX,"41' 55' 15.42"" N (41.920950)","87º 41' 14.56"" W (-87.687377)",2141 N. WESTERN AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104d8a4f8892d9346eb47b6
471417,CHICAGO CITY,CH3171BA_71LAB_Elevation_NAT_Reviewed_As_Built.pdf,XXXX,"41' 56' 22.13"" N (41.939481)","87º 40' 50.33"" W (-87.680648)",2059 W. BELMONT AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104cc90f8892d9346eb471e
471424,CHICAGO CITY,CHPH34132_SCU-471424_NAT_Redlined_As-Built.pdf,XXXX,"41' 57' 11.83"" N (41.953285)","87' 44' 40.32"" W ( 87.744532)",3955 N. KILPATRICK AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104bf02f8892d9346eb467a
471424,CHICAGO CITY,CHPH34132_SCU-471424_Redline-Node.pdf,XXXX,"41' 57' 11.83"" N (41.953285)","87' 44' 40.32"" W (-87.744532)",3955 N. KILPATRICK AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104db5bf8892d9346eb47d7
471429,CHICAGO,CHPH34139_SCU-471429_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,34.0,,34.33,,,,17.17,,14.96,,,,23.44,,,,6104c1b9f8892d9346eb469b
471431,CHICAGO CITY,CHPH34141_NAT_Redlined_As-Built.pdf,XXXX,"41' 52' 51.07"" N (41.880852)","87º 43' 40.97"" W (-87.728046)",4158 W. MADISON ST.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104db07f8892d9346eb47d3
471432,CHICAGO CITY,CHPH34142_SCU-471432_Redline-Node.pdf,XXXX,9999,9999,XXXX,XXXX,34.5,,,,,,23.5,,,,,,,,,,6104af77f8892d9346eb45b3
471438,CHICAGO CITY,CHPH34150_471438_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 53' 12.06"" N (41.886684)","87º 39' 03.21"" W (-87.650890)",926 W. FULTON MARKET.,XXXX,34.5,,,,,,23.5,,,,,,29.29,,,,6104b724f8892d9346eb4619
471445,CHICAGO CITY,CH3173BA_71LAB_Elevation_NAT_Reviewed_As_Built.pdf,XXXX,"41' 57' 57.42"" N (41.965949)","87º 42' 29.90"" W (-87.708307)",4641 N. KEDZIE AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104d45af8892d9346eb4784
471454,CHICAGO CITY,CHPH34169_Elevation_As_Built_NAT_Redline.pdf,XXXX,"41' 47' 37.94"" N (41.793872)","87º 41' 19.78"" W (-87.688827)",5443 S. ROCKWELL ST.,XXXX,,,,,,,23.5,,,,,,30.0,,,,6104d963f8892d9346eb47c0
471474,CHICAGO,CHPH34187_SCU-471474_Redline-Node.pdf,COMED,9999,9999,XXXX,XXXX,28.79,,,,,,12.67,,14.62,,,,14.52,,35.08,,6104bccff8892d9346eb465d
471478,CHICAGO,CHPH34191_SCU-471478_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,33.75,,34.04,,,,15.33,,13.15,,,,23.44,,,,6104c470f8892d9346eb46bc
471479,CHICAGO,CHPH34192_NodeDesign_NAT_Reviewed_Redline.pdf,COMED,"41' 48' 13.75"" (41.803820)","-87 44' 32.86"" (-87.742460)",4747 ₩ 49TH ST,XXXX,34.0,,34.0,,30.0,,13.75,,11.53,,9.42,,26.0,,,,6104bb72f8892d9346eb464d
471481,CHICAGO,CHPH34195_SCU-471481_REDLINE-NODE.pdf,COMED,41.916286,-87.729551,1930 N KARLOV AVE,XXXX,38.21,,39.0,,,,14.96,,16.9,,,,16.81,,45.33,,6104b204f8892d9346eb45d2
471485,CHICAGO,CHPH32364_SCU-471485_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,37.33,,30.83,,,,13.0,,11.53,,,,14.58,,38.29,,6104b2f7f8892d9346eb45de
471492,BERWYN,CHPH31273_SCU-471492_Redline-Node.pdf,COMED,9999,9999,XXXX,XXXX,32.71,,32.21,,,,13.83,,15.81,,,,15.69,,38.42,,6104d7a0f8892d9346eb47a9
471493,BERWYN,CHPH31274_SCU-471493_Redline-Node.pdf,COMED,9999,9999,XXXX,XXXX,33.71,,34.42,,,,15.08,,17.02,,,,16.94,,40.67,,6104d50ff8892d9346eb478c
471500,CICERO/COOK COUNTY,CHPH31284_471500_Redline-Node.pdf,COMED,9999,9999,XXXX,XXXX,47.08,,47.08,,,,18.17,,15.9,,,,17.44,,53.08,,6104b847f8892d9346eb4627
471537,CHICAGO CITY,CHPH30954_471537_Elevation_As-Built_NAT_Redline.pdf,XXXX,"41' 53' 08.34"" N (41.885649)","87º 45' 53.69"" W (-87.764914)",247 N. CENTRAL AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104c49bf8892d9346eb46be
471543,CHICAGO CITY,CHPH31075_471543_NAT_Reviewed_REDLINE-NODE.pdf,XXXX,"41' 53' 15.25"" N (41.887568)","87º 39' 42.04"" W (-87.661678)",338 N. OGDEN AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.29,,28.58,,6104b56bf8892d9346eb4601
471545,CHICAGO CITY,CHPH31078_SCU-471545_NAT_Redlined_As-Built.pdf,XXXX,"41' 52' 59.53"" N (41.883202)","87' 40' 09.10"" W (-87.669196)",1657 W. WASHINGTON BLVD.,XXXX,34.5,,,,,,,,,,,,30.04,,30.08,,6104c417f8892d9346eb46b9
471546,CHICAGO,CHPH31079_471546_NAT_Redlined_As-Built.pdf,COMED,9999,9999,XXXX,XXXX,38.96,,33.58,,,,11.5,,9.72,,,,12.79,,45.08,,6104d257f8892d9346eb4768
471547,CHICAGO CITY,CHPH31080_471547_NAT_Redlined_As-Built.pdf,XXXX,"41' 53' 03.27"" N (41.884241)","87 40' 35.85"" W (-87.676624)",137 N. DAMEN AVE.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104d72ef8892d9346eb47a4
471548,CHICAGO CITY,CHPH31082_471548_NAT_Redlined_As-Built.pdf,XXXX,"41' 52' 55.75"" N (41.882153)","87' 40' 37.46"" W (-87.677071)",2005 W. WARREN BLVD.,XXXX,34.5,,,,,,,,,,,,30.0,,,,6104c14ff8892d9346eb4696
471549,CHICAGO,CHPH31083_471549_NAT_Redlined_As-Built.pdf,COMED,"41' 53' 0.9"" (41.883582)","-87 40' 44.38"" (-87.678994)",113 N HOYNE AVE,XXXX,38.5,,38.0,,,,13.75,,11.53,,,,13.02,,45.0,,6104c5fdf8892d9346eb46d0
471550,CHICAGO,CHPH31086_SCU-471550_NAT_Redlined_As-Built.pdf,COMED,9999,9999,XXXX,XXXX,39.42,,39.08,,28.08,,22.83,,23.0,,,,22.92,,45.92,,6104bfc9f8892d9346eb4684
471553,CHICAGO,CHPH30650_SCU-471553_Redlines-Node.pdf,COMED,9999,9999,XXXX,XXXX,34.0,,34.33,,,,10.92,,12.85,,,,12.77,,40.5,,6104b8e3f8892d9346eb462f
